Number of scans,Number of scans before first consumer scan,Number of owners,Days since last scan,Days since manufactured,Days from manufactured to first scan,Days from manufactured to market release,Number of countries,Distance from selling point,Online selling,EU manufactured,Matching market and sale country,EU entry point,Days to expire,EU entry transport,Medicine category,Pack size,Pack type,Brand,Inspected?,Alert,Country Stamp,Suspicious level month stamp,Suspicious level year stamp,Suspicious level country stamp
28,19,2,9,20,6,4,11,1713,0,0,0,21,167,Sea,Cytostatic,13 to 28 doses,Bag,1,0,0,5,Sep,2019,0
29,16,5,61,75,2,2,11,3176,0,0,0,14,241,Mail/Courier,Genito-urinary,13 to 28 doses,Bottle,5,0,0,1,Jan,2019,0
20,13,9,87,100,13,8,2,4460,0,0,0,22,268,Mail/Courier,Anti-infective,12 or less doses,Bag,5,1,0,2,Sep,2020,0
4,3,5,25,55,12,11,2,73,0,0,0,6,245,Sea,Genito-urinary,12 or less doses,Bag,8,0,0,8,Dec,2018,0
12,8,8,117,150,15,14,9,2923,0,0,0,12,25,Sea,Genito-urinary,13 to 28 doses,Box,9,0,0,1,May,2018,0
7,4,5,59,68,9,5,10,1150,0,0,0,23,163,Air,CNS,12 or less doses,Box,8,0,0,12,Dec,2020,0
5,3,3,54,73,0,0,2,3300,0,0,0,8,141,Mail/Courier,Cytostatic,13 to 28 doses,Bag,6,0,0,15,Feb,2020,0
19,16,8,90,122,15,9,14,1518,0,0,0,9,244,Sea,Cytostatic,12 or less doses,Bag,8,0,0,12,Dec,2020,0
18,9,9,27,33,4,2,0,4129,0,0,0,23,141,Road,Hormones,12 or less doses,Box,1,0,0,25,Jan,2021,0
5,4,1,24,37,12,11,2,333,0,0,0,9,224,Sea,Hormones,12 or less doses,Bag,9,0,0,24,Jul,2021,0
27,15,3,58,78,18,14,11,4472,0,0,0,27,280,Air,Hormones,more than 28 doses,Bag,2,0,0,8,Jun,2021,0
21,14,9,7,9,2,2,0,3113,0,0,0,7,195,Road,Cytostatic,12 or less doses,Bag,6,0,0,8,Oct,2021,0
6,3,5,83,102,14,11,9,3815,0,0,0,4,73,Sea,Cytostatic,13 to 28 doses,Box,7,0,0,14,Jul,2021,0
2,1,6,115,132,3,2,2,3573,0,0,0,17,33,Sea,Hormones,12 or less doses,Box,6,1,0,26,Oct,2021,0
13,7,7,111,172,11,10,14,2006,0,0,0,25,136,Air,Cytostatic,13 to 28 doses,Box,3,0,0,17,Jul,2020,0
19,16,3,6,7,0,0,10,870,0,0,0,25,161,Sea,CNS,more than 28 doses,Box,0,1,0,13,Aug,2019,0
6,4,6,49,108,18,17,1,710,0,0,0,10,338,Sea,Anti-infective,more than 28 doses,Bottle,8,1,0,22,Nov,2021,0
2,1,7,23,26,3,3,9,4509,0,0,0,10,46,Road,CNS,12 or less doses,Bottle,0,0,0,8,May,2019,0
13,11,2,45,61,3,3,0,1834,0,0,0,23,24,Mail/Courier,CNS,more than 28 doses,Box,6,0,0,18,May,2021,0
18,9,7,88,113,21,20,10,4462,0,0,0,24,195,Air,Genito-urinary,13 to 28 doses,Bag,6,0,0,5,Jan,2018,0
34,17,8,16,18,2,2,11,1544,0,0,0,13,323,Road,Anti-infective,more than 28 doses,Bottle,1,0,0,9,Nov,2021,0
10,5,3,47,54,2,2,11,2755,0,0,0,12,94,Mail/Courier,Anti-infective,12 or less doses,Box,9,0,0,16,Dec,2021,0
13,11,2,106,130,24,14,5,3703,0,0,0,14,68,Air,Anti-infective,12 or less doses,Bottle,5,0,0,26,Jan,2019,0
8,7,3,41,47,2,2,13,48,0,0,0,19,28,Air,Anti-infective,13 to 28 doses,Box,7,0,0,9,May,2019,0
28,19,1,88,136,0,0,4,1189,0,0,0,21,81,Mail/Courier,Hormones,13 to 28 doses,Box,1,0,0,10,Mar,2019,0
9,5,5,50,64,11,9,11,678,0,0,0,10,217,Sea,Hormones,12 or less doses,Box,9,0,0,10,Dec,2021,0
15,10,7,105,134,20,19,4,386,0,0,0,3,163,Sea,Cytostatic,more than 28 doses,Bag,1,1,0,15,Jan,2021,0
3,2,4,18,23,2,2,7,559,0,0,0,19,52,Mail/Courier,Anti-infective,more than 28 doses,Bag,2,0,0,16,Aug,2020,0
2,1,5,2,3,0,0,8,2154,0,0,0,22,177,Sea,CNS,13 to 28 doses,Box,0,0,0,14,Oct,2019,0
4,2,4,61,70,4,2,13,1718,0,0,0,19,107,Road,Hormones,more than 28 doses,Bottle,1,0,0,19,May,2019,0
6,5,7,41,50,3,3,8,2430,0,0,0,7,56,Air,Anti-infective,13 to 28 doses,Bag,4,0,0,15,Sep,2019,0
22,18,1,58,78,12,11,7,3673,0,0,0,19,85,Road,Hormones,12 or less doses,Box,6,0,0,16,May,2019,0
32,18,4,73,90,9,7,1,797,0,0,0,22,361,Mail/Courier,Cytostatic,12 or less doses,Box,1,0,0,22,Nov,2018,0
10,5,3,111,150,39,37,7,2538,0,0,0,25,358,Sea,Cytostatic,13 to 28 doses,Bottle,0,0,0,12,Sep,2021,0
32,16,8,72,83,10,8,4,1266,0,0,0,20,136,Sea,Genito-urinary,more than 28 doses,Box,3,0,0,24,Jul,2021,0
15,10,7,19,23,4,2,13,1591,0,0,0,19,331,Air,Cytostatic,13 to 28 doses,Bottle,7,0,0,10,Feb,2021,0
15,10,9,79,101,6,5,12,2957,0,0,0,14,63,Air,Anti-infective,more than 28 doses,Bag,0,0,0,9,Apr,2021,0
22,18,1,30,38,7,4,12,2970,0,0,0,8,176,Air,Anti-infective,more than 28 doses,Box,9,0,0,15,May,2019,0
5,4,4,108,167,26,21,3,1184,0,0,0,6,190,Road,Anti-infective,more than 28 doses,Box,4,0,0,1,Aug,2018,0
38,19,8,31,48,1,1,1,4450,0,0,0,2,3,Mail/Courier,CNS,more than 28 doses,Box,7,0,0,18,Jul,2018,0
24,12,5,53,72,17,16,7,2404,0,0,0,27,130,Sea,Genito-urinary,more than 28 doses,Bottle,0,0,0,3,Jul,2018,0
24,16,3,37,57,12,10,7,4482,0,0,0,22,73,Mail/Courier,Anti-infective,more than 28 doses,Box,4,1,0,8,Nov,2019,0
18,15,7,108,146,29,17,2,1959,0,0,0,16,334,Road,Anti-infective,13 to 28 doses,Box,8,0,0,19,Nov,2020,0
18,12,1,27,31,3,2,6,881,0,0,0,27,90,Mail/Courier,CNS,13 to 28 doses,Box,5,0,0,14,Sep,2021,0
19,16,6,54,73,6,5,13,2778,0,0,0,1,267,Mail/Courier,CNS,more than 28 doses,Box,1,0,0,4,Jul,2020,0
9,6,6,87,117,3,3,6,4207,0,0,0,10,145,Road,Hormones,12 or less doses,Bag,2,0,0,6,Oct,2020,0
18,15,5,27,31,1,1,9,4027,0,0,0,17,47,Road,Cytostatic,12 or less doses,Bottle,2,0,0,14,Dec,2019,0
23,19,2,55,74,6,6,6,346,0,0,0,15,320,Road,CNS,more than 28 doses,Bag,1,0,0,23,Sep,2019,0
13,7,8,36,46,2,2,5,4912,0,0,0,4,97,Mail/Courier,Anti-infective,12 or less doses,Bag,9,0,0,22,Aug,2019,0
6,5,3,1,1,0,0,13,4953,0,0,0,13,172,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,6,0,0,18,Jan,2021,0
38,19,1,76,118,12,10,13,620,0,0,0,2,161,Mail/Courier,CNS,13 to 28 doses,Bottle,4,0,0,15,Apr,2019,0
5,4,9,106,122,14,11,14,4092,0,0,0,20,145,Air,Cytostatic,12 or less doses,Bag,8,0,0,8,Apr,2020,0
15,10,4,108,146,3,2,14,520,0,0,0,18,319,Air,Hormones,12 or less doses,Bottle,8,1,0,25,Oct,2019,0
10,7,5,20,44,15,9,14,4298,0,0,0,20,204,Mail/Courier,Anti-infective,12 or less doses,Box,0,1,0,23,Sep,2018,0
16,13,4,15,20,3,2,2,199,0,0,0,23,130,Road,Genito-urinary,more than 28 doses,Bag,6,0,0,9,Jan,2019,0
34,19,7,113,130,11,10,11,4617,0,0,0,5,13,Air,Hormones,more than 28 doses,Bottle,6,0,0,22,May,2021,0
13,7,5,48,61,1,1,5,49,0,0,0,23,165,Road,Genito-urinary,more than 28 doses,Bag,9,0,0,21,Oct,2019,0
4,2,1,38,47,7,7,3,2990,0,0,0,24,215,Mail/Courier,Cytostatic,13 to 28 doses,Box,2,0,0,5,Dec,2021,0
22,15,9,21,27,6,6,6,1836,0,0,0,24,37,Mail/Courier,CNS,13 to 28 doses,Box,0,0,0,1,Jun,2019,0
4,2,5,45,70,18,14,4,4075,0,0,0,8,326,Mail/Courier,Hormones,12 or less doses,Box,8,0,0,7,Dec,2018,0
28,14,4,48,59,11,10,14,1718,0,0,0,24,11,Road,Anti-infective,13 to 28 doses,Bottle,5,0,0,10,Feb,2019,0
20,13,7,56,72,4,2,7,4131,0,0,0,1,242,Sea,Cytostatic,more than 28 doses,Bottle,9,0,0,14,Aug,2019,0
17,14,6,12,14,2,2,12,3617,0,0,0,11,90,Sea,Cytostatic,12 or less doses,Box,7,1,0,25,Aug,2021,0
13,11,2,69,85,4,4,2,2065,0,0,0,12,193,Sea,Cytostatic,13 to 28 doses,Bag,9,0,0,14,Jun,2018,0
18,15,2,99,122,11,7,7,3928,0,0,0,8,241,Mail/Courier,Anti-infective,12 or less doses,Bag,3,0,0,25,Nov,2020,0
20,11,3,107,137,1,1,11,4816,0,0,0,17,15,Mail/Courier,Cytostatic,12 or less doses,Bottle,3,0,0,4,Jan,2018,0
22,15,8,110,242,95,76,11,1303,0,0,0,12,153,Road,Genito-urinary,12 or less doses,Box,3,0,0,8,Nov,2018,0
22,12,8,100,115,11,10,11,1346,0,0,0,10,56,Road,Cytostatic,12 or less doses,Bottle,7,0,0,9,Oct,2019,0
7,4,5,70,94,8,5,10,499,0,0,0,3,46,Road,Cytostatic,13 to 28 doses,Bottle,3,1,0,24,Mar,2019,0
22,15,7,83,106,7,7,4,3464,0,0,0,16,194,Air,Genito-urinary,more than 28 doses,Bag,4,0,0,13,Jul,2021,0
13,11,4,9,11,1,1,13,1250,0,0,0,3,316,Mail/Courier,CNS,13 to 28 doses,Bag,7,0,0,21,Apr,2020,0
18,10,5,56,76,8,5,13,4395,0,0,0,12,10,Road,Genito-urinary,more than 28 doses,Bottle,9,0,0,4,Apr,2018,0
6,5,4,119,161,9,9,11,4889,0,0,0,8,297,Sea,Cytostatic,12 or less doses,Bag,6,0,0,26,Feb,2021,0
1,1,2,30,46,0,0,12,2859,0,0,0,6,8,Mail/Courier,Genito-urinary,13 to 28 doses,Bottle,7,0,0,3,Dec,2021,0
34,17,1,36,44,8,8,5,546,0,0,0,5,39,Road,Genito-urinary,12 or less doses,Bag,1,0,0,23,Oct,2019,0
10,7,6,80,98,10,10,4,1475,0,0,0,23,138,Road,Anti-infective,13 to 28 doses,Box,2,0,0,12,Feb,2021,0
5,4,7,77,169,2,2,5,722,0,0,0,24,340,Mail/Courier,CNS,12 or less doses,Bag,6,0,0,6,Aug,2019,0
34,19,4,90,140,49,39,4,2918,0,0,0,18,178,Mail/Courier,Cytostatic,more than 28 doses,Box,6,0,0,1,Sep,2021,0
21,14,6,89,114,6,5,4,135,0,0,0,6,32,Air,Anti-infective,13 to 28 doses,Bottle,7,0,0,14,Dec,2021,0
26,17,5,36,44,5,4,6,2653,0,0,0,26,179,Sea,Cytostatic,13 to 28 doses,Bottle,9,1,0,24,Dec,2020,0
22,15,9,105,129,16,15,2,4423,0,0,0,1,334,Air,Hormones,13 to 28 doses,Box,1,0,0,13,Jul,2019,0
12,8,4,20,31,5,5,8,4074,0,0,0,11,35,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,6,0,0,8,May,2020,0
8,7,3,41,50,6,6,13,1760,0,0,0,9,71,Sea,CNS,12 or less doses,Box,1,0,0,3,Jan,2019,0
20,11,2,50,62,11,10,4,4929,0,0,0,23,322,Mail/Courier,Genito-urinary,13 to 28 doses,Box,3,0,0,9,May,2018,0
16,13,4,85,115,9,9,4,1364,0,0,0,18,238,Air,Cytostatic,13 to 28 doses,Bag,3,0,0,19,Jun,2018,0
26,17,7,26,35,8,8,0,4264,0,0,0,14,25,Mail/Courier,Anti-infective,12 or less doses,Bottle,8,0,0,21,Dec,2021,0
4,3,8,77,104,5,4,14,1175,0,0,0,5,291,Air,Anti-infective,12 or less doses,Bottle,7,0,0,2,Nov,2020,0
10,8,3,114,146,9,9,10,3659,0,0,0,1,225,Air,CNS,12 or less doses,Box,8,0,0,25,Jun,2021,0
11,9,9,21,46,10,6,12,3638,0,0,0,20,151,Mail/Courier,Cytostatic,12 or less doses,Bottle,9,0,0,16,Dec,2019,0
18,10,4,16,18,2,2,2,422,0,0,0,7,332,Mail/Courier,Hormones,more than 28 doses,Bag,9,0,0,6,Feb,2019,0
22,18,6,49,60,2,2,14,1269,0,0,0,25,30,Mail/Courier,Hormones,12 or less doses,Box,2,0,0,20,Dec,2020,0
3,2,7,35,54,12,7,11,3776,0,0,0,25,339,Road,Cytostatic,more than 28 doses,Bag,1,0,0,5,Jan,2020,0
27,18,3,63,85,20,12,8,1972,0,0,0,14,43,Sea,Anti-infective,12 or less doses,Box,8,1,0,3,Apr,2020,0
14,12,5,85,115,26,21,11,4192,0,0,0,26,225,Mail/Courier,CNS,13 to 28 doses,Box,1,0,0,5,Dec,2018,0
2,1,4,35,47,4,4,4,3651,0,0,0,9,228,Mail/Courier,Cytostatic,more than 28 doses,Box,9,0,0,5,Jan,2018,0
18,15,8,79,101,18,14,2,3200,0,0,0,11,148,Mail/Courier,Cytostatic,more than 28 doses,Bottle,0,0,0,12,Jul,2020,0
22,12,3,14,16,1,1,2,2785,0,0,0,13,310,Mail/Courier,CNS,13 to 28 doses,Bag,4,0,0,15,Apr,2018,0
4,3,1,31,68,4,2,10,2952,0,0,0,17,214,Mail/Courier,Cytostatic,more than 28 doses,Bottle,2,0,0,27,Jan,2019,0
22,12,9,64,74,3,2,11,2133,0,0,0,3,357,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,0,0,0,24,Jan,2018,0
2,1,7,105,142,34,20,2,2430,0,0,0,25,3,Air,Anti-infective,more than 28 doses,Bag,2,0,0,17,Feb,2020,0
9,6,9,89,114,20,12,13,3749,0,0,0,28,236,Air,Hormones,more than 28 doses,Bottle,0,0,0,27,Jun,2018,0
16,13,5,38,47,8,6,14,2616,0,0,0,3,162,Sea,Cytostatic,13 to 28 doses,Bottle,4,0,0,6,Dec,2020,0
20,11,9,21,46,0,0,12,615,0,0,0,15,70,Road,Anti-infective,13 to 28 doses,Bag,1,0,0,25,Aug,2019,0
16,9,1,39,53,6,5,6,1328,0,0,0,8,172,Mail/Courier,CNS,more than 28 doses,Bottle,6,0,0,4,Mar,2021,0
20,17,7,112,174,38,30,13,3365,0,0,0,8,359,Road,Hormones,12 or less doses,Box,6,0,0,23,Nov,2019,0
2,2,7,17,21,1,1,13,1581,0,0,0,5,248,Air,Genito-urinary,13 to 28 doses,Box,9,0,0,5,Oct,2018,0
25,14,6,100,123,13,12,1,3478,0,0,0,6,360,Road,Hormones,12 or less doses,Box,2,0,0,2,Jan,2018,0
20,17,3,47,54,0,0,10,448,0,0,0,24,238,Mail/Courier,Genito-urinary,12 or less doses,Bottle,6,1,0,8,Apr,2019,0
5,4,7,62,84,8,6,2,1571,0,0,0,21,99,Mail/Courier,Hormones,more than 28 doses,Bag,2,0,0,21,Nov,2021,0
20,17,3,100,115,12,11,0,1907,0,0,0,8,23,Mail/Courier,CNS,more than 28 doses,Bottle,1,0,0,11,Aug,2021,0
13,11,9,87,100,0,0,0,1247,0,0,0,1,62,Mail/Courier,Anti-infective,more than 28 doses,Box,7,0,0,16,Oct,2018,0
15,10,7,5,8,3,2,7,686,0,0,0,4,15,Sea,Cytostatic,12 or less doses,Box,1,0,0,27,Dec,2019,0
14,9,1,119,152,25,24,11,1755,0,0,0,3,136,Air,Cytostatic,more than 28 doses,Bag,2,1,0,23,May,2020,0
11,9,4,53,82,16,15,5,1135,0,0,0,20,337,Mail/Courier,Genito-urinary,more than 28 doses,Box,9,1,0,7,Feb,2021,0
22,12,3,70,108,15,14,8,1550,0,0,0,19,71,Sea,Cytostatic,more than 28 doses,Box,2,0,0,14,May,2018,0
20,17,9,33,38,3,2,14,1519,0,0,0,15,315,Sea,Hormones,more than 28 doses,Box,3,0,0,1,May,2019,0
22,18,7,35,43,8,5,11,1683,0,0,0,23,9,Road,Cytostatic,12 or less doses,Bag,8,0,0,26,Jan,2019,0
18,10,2,30,40,7,4,7,2413,0,0,0,6,229,Sea,Genito-urinary,more than 28 doses,Bottle,3,0,0,6,Sep,2020,0
5,3,8,34,46,5,5,8,2187,0,0,0,9,334,Road,CNS,more than 28 doses,Bottle,7,0,0,12,May,2018,0
6,5,2,47,73,26,25,8,828,0,0,0,12,239,Air,Anti-infective,more than 28 doses,Bottle,3,0,0,10,Sep,2021,0
8,7,6,112,143,12,11,1,4643,0,0,0,22,218,Mail/Courier,Hormones,13 to 28 doses,Bag,5,0,0,24,Jul,2018,0
2,1,1,92,106,1,1,7,2327,0,0,0,11,47,Air,Hormones,12 or less doses,Box,1,0,0,18,May,2020,0
16,11,7,23,28,5,5,11,526,0,0,0,8,62,Sea,Cytostatic,12 or less doses,Bottle,8,0,0,3,Jul,2019,0
36,18,2,111,150,9,9,1,2817,0,0,0,12,21,Mail/Courier,CNS,12 or less doses,Box,7,1,0,12,Jul,2020,0
18,15,3,23,26,0,0,9,4788,0,0,0,18,328,Mail/Courier,CNS,12 or less doses,Bag,3,0,0,1,Nov,2021,0
16,11,8,1,1,0,0,2,1965,0,0,0,8,339,Air,Cytostatic,12 or less doses,Box,4,0,0,19,Jan,2020,0
14,12,3,80,102,1,1,5,1609,0,0,0,19,196,Mail/Courier,CNS,12 or less doses,Bottle,0,0,0,7,Jan,2019,0
1,1,7,1,2,0,0,14,3196,0,0,0,27,127,Air,CNS,12 or less doses,Box,9,1,0,15,Feb,2020,0
23,13,7,67,90,12,7,11,409,0,0,0,19,84,Air,Cytostatic,more than 28 doses,Bottle,3,0,0,24,Mar,2018,0
8,7,7,23,29,1,1,2,2573,0,0,0,8,56,Air,Anti-infective,more than 28 doses,Bottle,7,1,0,17,Feb,2021,0
11,6,9,100,128,13,8,10,2216,0,0,0,15,134,Mail/Courier,CNS,more than 28 doses,Bottle,8,0,0,1,Jan,2019,0
2,1,4,88,113,13,12,7,3967,0,0,0,1,237,Air,Genito-urinary,12 or less doses,Bag,6,0,0,20,Nov,2018,0
19,16,7,105,121,1,1,13,700,0,0,0,20,36,Sea,CNS,12 or less doses,Box,6,0,0,2,Jul,2021,0
14,9,4,9,20,9,9,5,1887,0,0,0,19,1,Sea,CNS,12 or less doses,Box,1,0,0,13,Jan,2018,0
6,4,1,39,86,35,28,11,4877,0,0,0,20,0,Sea,Genito-urinary,13 to 28 doses,Bag,7,0,0,8,Mar,2019,0
20,13,1,82,105,21,17,4,450,0,0,0,18,86,Mail/Courier,Genito-urinary,more than 28 doses,Box,4,0,0,25,Jan,2021,0
1,1,4,58,74,9,7,6,3476,0,0,0,2,218,Road,Cytostatic,more than 28 doses,Bottle,1,1,0,22,Apr,2018,0
10,7,4,45,61,11,10,11,3679,0,0,0,8,170,Mail/Courier,CNS,12 or less doses,Box,4,0,0,16,Dec,2019,0
21,14,1,119,137,4,3,1,2933,0,0,0,10,257,Sea,Anti-infective,more than 28 doses,Bag,2,0,0,5,Sep,2019,0
6,5,6,92,106,8,8,1,110,0,0,0,17,87,Road,Genito-urinary,more than 28 doses,Bottle,0,0,0,2,Sep,2021,0
11,9,8,33,42,5,5,2,1114,0,0,0,8,60,Sea,Anti-infective,12 or less doses,Bag,2,0,0,11,Dec,2019,0
21,14,9,59,68,7,7,10,4495,0,0,0,2,2,Sea,Cytostatic,12 or less doses,Bag,2,0,0,5,Sep,2021,0
6,3,8,52,67,15,12,7,4317,0,0,0,12,347,Air,Hormones,13 to 28 doses,Bag,9,0,0,8,Jul,2018,0
13,11,4,65,143,9,7,7,2383,0,0,0,8,292,Sea,Cytostatic,more than 28 doses,Bottle,0,0,0,11,Sep,2020,0
17,14,2,30,34,0,0,4,2063,0,0,0,6,92,Road,Cytostatic,13 to 28 doses,Box,6,0,0,27,Aug,2018,0
9,5,4,21,28,0,0,6,2081,0,0,0,21,285,Sea,Cytostatic,13 to 28 doses,Box,5,1,0,2,Jan,2019,0
6,4,3,28,36,5,5,4,1239,0,0,0,9,110,Mail/Courier,Cytostatic,12 or less doses,Bottle,6,0,0,12,Sep,2018,0
22,12,7,39,50,8,8,8,2983,0,0,0,20,80,Mail/Courier,Genito-urinary,12 or less doses,Box,9,0,0,21,Aug,2021,0
20,17,8,117,144,17,16,12,2292,0,0,0,16,294,Air,CNS,13 to 28 doses,Bag,9,0,0,2,Jan,2021,0
2,2,4,81,104,7,4,7,470,0,0,0,22,45,Sea,Hormones,13 to 28 doses,Box,1,1,0,20,Sep,2021,0
25,14,6,92,124,12,11,12,3472,0,0,0,5,259,Road,CNS,13 to 28 doses,Box,2,1,0,5,Feb,2019,0
10,8,6,92,113,1,1,14,1521,0,0,0,1,105,Air,Anti-infective,13 to 28 doses,Box,4,0,0,13,Oct,2021,0
3,2,5,76,97,5,5,11,2932,0,0,0,6,13,Air,Genito-urinary,12 or less doses,Box,1,0,0,12,Dec,2021,0
14,9,5,80,108,19,15,4,3940,0,0,0,14,310,Air,Anti-infective,13 to 28 doses,Bottle,6,0,0,28,Sep,2019,0
19,16,1,67,90,0,0,10,2423,0,0,0,2,107,Road,Genito-urinary,12 or less doses,Bag,7,0,0,14,Jul,2019,0
18,10,2,44,56,2,2,13,127,0,0,0,28,8,Road,Genito-urinary,12 or less doses,Box,2,0,0,15,Oct,2018,0
3,2,4,58,71,5,5,1,684,0,0,0,25,109,Sea,Hormones,more than 28 doses,Box,8,0,0,28,Jun,2020,0
3,2,3,107,144,5,4,8,625,0,0,0,23,67,Sea,Hormones,13 to 28 doses,Bag,8,0,0,19,Nov,2019,0
22,18,1,27,33,1,1,11,4733,0,0,0,14,344,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,1,0,0,1,Jul,2019,0
6,4,5,0,0,0,0,12,30,0,0,0,24,190,Air,Anti-infective,more than 28 doses,Box,5,0,0,21,Jul,2018,0
7,6,9,99,127,7,7,5,3548,0,0,0,25,289,Air,Cytostatic,more than 28 doses,Bottle,1,0,0,20,Jul,2018,0
8,7,7,51,63,1,1,13,3805,0,0,0,26,217,Air,Genito-urinary,12 or less doses,Bag,5,0,0,23,Mar,2019,0
23,19,8,80,108,2,2,11,1487,0,0,0,23,261,Mail/Courier,CNS,12 or less doses,Bottle,2,0,0,9,Aug,2019,0
2,2,8,66,76,0,0,10,3095,0,0,0,4,213,Mail/Courier,Anti-infective,13 to 28 doses,Box,2,0,0,27,Oct,2020,0
20,17,5,13,15,2,2,2,2716,0,0,0,7,231,Mail/Courier,Hormones,13 to 28 doses,Bag,5,1,0,16,Aug,2019,0
14,8,7,69,79,8,5,5,4530,0,0,0,9,261,Sea,Hormones,more than 28 doses,Bag,9,0,0,18,Jan,2020,0
24,16,3,91,112,9,5,7,713,0,0,0,16,363,Mail/Courier,CNS,12 or less doses,Box,3,1,0,8,Nov,2019,0
14,9,8,21,27,6,6,8,2712,0,0,0,26,345,Sea,CNS,13 to 28 doses,Bag,3,0,0,9,Nov,2018,0
23,13,4,65,80,12,10,5,2018,0,0,0,22,77,Mail/Courier,Hormones,13 to 28 doses,Bottle,7,0,0,4,Nov,2018,0
5,4,5,29,36,4,4,5,4259,0,0,0,19,34,Road,Anti-infective,more than 28 doses,Bottle,9,1,0,5,Oct,2020,0
5,3,1,29,45,6,5,7,1495,0,0,0,16,30,Mail/Courier,Anti-infective,more than 28 doses,Bottle,6,0,0,18,Jul,2020,0
17,14,3,62,96,8,8,8,4099,0,0,0,2,336,Air,Genito-urinary,13 to 28 doses,Box,0,0,0,16,Jul,2020,0
18,15,1,37,81,35,33,6,1277,0,0,0,8,273,Air,Genito-urinary,13 to 28 doses,Bottle,3,0,0,25,Aug,2020,0
9,6,2,55,70,13,12,6,2637,0,0,0,2,271,Mail/Courier,CNS,12 or less doses,Bottle,3,0,0,8,Dec,2021,0
2,1,5,102,117,0,0,12,3869,0,0,0,14,300,Sea,Hormones,12 or less doses,Bag,5,0,0,5,Dec,2020,0
36,18,4,27,31,4,4,12,4860,0,0,0,13,67,Sea,Cytostatic,13 to 28 doses,Bag,6,0,0,14,Dec,2021,0
2,2,6,2,3,0,0,7,827,0,0,0,20,146,Mail/Courier,Hormones,more than 28 doses,Bottle,9,0,0,21,Jul,2019,0
16,13,4,29,39,0,0,8,1501,0,0,0,4,75,Sea,Hormones,more than 28 doses,Bottle,7,0,0,22,Aug,2021,0
23,13,9,34,46,5,3,10,2686,0,0,0,27,180,Sea,Cytostatic,13 to 28 doses,Bag,8,0,0,14,Jul,2021,0
9,5,9,0,0,0,0,7,4761,0,0,0,16,105,Air,Genito-urinary,12 or less doses,Bottle,7,0,0,20,Jun,2020,0
10,8,3,111,150,36,29,1,1907,0,0,0,2,302,Sea,Hormones,12 or less doses,Bottle,6,0,0,12,Aug,2019,0
2,1,7,52,81,29,23,7,4356,0,0,0,9,160,Mail/Courier,Genito-urinary,12 or less doses,Bottle,6,0,0,16,Feb,2020,0
7,6,5,26,35,1,1,7,1844,0,0,0,28,259,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,3,0,0,26,Apr,2019,0
22,11,6,84,130,20,12,3,3194,0,0,0,17,134,Road,Cytostatic,more than 28 doses,Bag,5,0,0,18,Dec,2021,0
12,8,6,92,118,14,13,12,1048,0,0,0,24,174,Road,CNS,more than 28 doses,Bottle,5,0,0,18,Dec,2018,0
4,3,1,84,130,17,10,3,906,0,0,0,27,27,Sea,CNS,more than 28 doses,Bag,8,1,0,4,Dec,2018,0
30,15,8,119,161,1,1,4,4352,0,0,0,21,303,Mail/Courier,CNS,more than 28 doses,Bag,6,0,0,6,May,2018,0
8,7,3,30,34,3,2,9,980,0,0,0,22,330,Road,Hormones,13 to 28 doses,Bag,8,0,0,28,Nov,2018,0
22,12,2,55,70,10,10,7,4559,0,0,0,1,155,Air,Genito-urinary,12 or less doses,Bottle,8,0,0,24,Aug,2018,0
9,5,8,88,136,1,1,0,2120,0,0,0,24,129,Road,Cytostatic,13 to 28 doses,Bottle,6,0,0,10,Sep,2021,0
14,9,7,90,198,69,66,2,4989,0,0,0,22,37,Road,Genito-urinary,13 to 28 doses,Bottle,8,1,0,20,Mar,2021,0
9,6,9,81,100,11,9,2,1613,0,0,0,13,237,Road,CNS,13 to 28 doses,Box,5,0,0,11,Nov,2018,0
2,1,3,50,64,6,6,6,3863,0,0,0,12,322,Sea,Anti-infective,12 or less doses,Bottle,0,1,0,24,Jan,2020,0
7,4,5,95,128,1,1,7,3754,0,0,0,19,95,Sea,CNS,more than 28 doses,Box,1,0,0,2,Jul,2021,0
14,9,8,8,12,0,0,12,462,0,0,0,11,170,Air,Cytostatic,12 or less doses,Box,0,0,0,12,Aug,2018,0
6,5,5,12,15,1,1,11,1666,0,0,0,16,9,Road,CNS,13 to 28 doses,Bag,2,0,0,8,Sep,2020,0
18,15,1,86,116,4,4,2,3458,0,0,0,18,43,Sea,CNS,12 or less doses,Bag,9,0,0,7,May,2019,0
10,8,1,58,90,12,7,6,5,0,0,0,26,33,Road,Cytostatic,12 or less doses,Bag,6,0,0,22,Dec,2020,0
11,6,2,108,238,41,33,1,2110,0,0,0,11,109,Air,CNS,more than 28 doses,Bag,5,1,0,19,Jul,2018,0
12,10,9,19,24,2,2,8,886,0,0,0,7,128,Mail/Courier,Genito-urinary,12 or less doses,Bottle,1,1,0,8,Aug,2018,0
20,11,5,36,49,11,9,5,366,0,0,0,2,52,Road,Cytostatic,13 to 28 doses,Bag,1,1,0,6,Apr,2021,0
